gender,heightCm,weightKg,trueWaistCm,trueChestCm,trueHipCm,imageW,imageH,frontPxLeft,frontPxRight,frontPxTop,frontPxBottom,frontShoulderW,frontHipW
female,169.16692572985102,85.0847913095158,90.67050311669878,109.418656716215,103.8206929097534,720,1280,240.7315096075427,478.58935636239244,66.53693557720533,1222.679410834804,307.21561429488315,289.42369121452
male,172.6826225037159,106.22823214637017,104.06461141923631,119.67952567096779,111.22561832480359,720,1280,227.12802720029282,489.49152601597604,82.18944506660887,1228.8119201150387,363.38726933163343,300.32488367386327
male,166.44846452255118,82.39146144178633,91.76647057161237,105.10800686652185,97.77235722135336,720,1280,238.68362555079702,480.7523430258361,70.43193940477727,1236.7500187572923,335.79506596430906,279.9274149908117
male,160.30398114553563,93.58921449287863,98.34721546373007,115.07406660160841,105.25056485263661,720,1280,225.7415536509934,494.40949530231836,71.08909997937207,1235.5265390416578,373.12010233299657,314.33432349550077
male,173.5488841857308,76.98745365392256,84.81173227540988,97.18098044912585,89.0150963325244,720,1280,250.479922303509,469.6283063174153,69.60974147172207,1232.3064260421295,296.4940523232974,246.71078989914392
male,191.56224190096032,56.127015002536695,78.5683944474529,89.98613073792058,83.03602840722004,720,1280,271.12513132665936,452.38310267058404,74.13234274624537,1237.2617488292542,250.38713668252674,208.4067240465727
male,159.27202745385028,108.47095935560903,112.15703268579625,130.27716874513087,119.42779806510839,720,1280,206.5003039977683,513.0383365414081,83.18969916381354,1230.8335953415597,422.26456113550654,355.16032787549716
female,167.154055649112,50.84938221500283,68.3102678756414,82.01135584007675,80.35930387133216,720,1280,269.49450224753735,452.2721998485097,75.07475814246791,1236.9729320585745,233.40746297248114,222.0919673703698
male,167.56199129877666,96.44284742374408,100.51341466840755,117.77675455378427,106.61702892485074,720,1280,226.93303975011798,490.87816110723645,66.05436847759505,1216.3460222456715,360.84032840692095,299.90788112427293
female,161.4118059802927,45.794648919618005,64.39511288986797,79.22415884559439,75.98178839554348,720,1280,272.0726588937394,449.2096559232315,86.61003331077706,1240.5209594090238,226.99039732955092,214.75981596626468
male,157.00945156932133,58.923619221860356,73.93960180261735,86.46542885043559,77.54221073998784,720,1280,256.42457298391184,463.49765446424504,71.46326228541372,1239.6140064042072,288.5548116025519,240.22170666502763
female,158.34427546170187,53.10176373261939,69.17445624585245,85.77172835013339,81.52999852180773,720,1280,265.3998118094081,455.08429239898726,77.96977105105627,1225.6944641904809,246.4629695195797,232.51641428735482
male,170.16520260954158,96.73918545952908,101.11310004925988,117.92606226311966,107.73611468448597,720,1280,230.42792181654423,489.62593101604915,75.62959724748117,1233.2823012344493,361.22768103235853,300.86844997805804
female,163.5074899775193,86.49480843634976,92.34988934331165,113.45773906070059,107.70983083109257,720,1280,235.84591381659664,483.8845207970037,67.86276040117718,1230.6602600804729,326.43945537484854,306.64809631048774
female,145.5759230619811,45.959173113832705,64.79578106723444,77.70050250643934,74.92384903665571,720,1280,263.75455450871044,457.63256557414786,85.12542939266828,1226.0126277560512,250.6966833937848,234.2911506338414
female,171.36455208252224,62.19200924459521,77.0292039390701,95.44882509754366,90.0092574315793,720,1280,259.3372257191707,458.32932650664634,76.4213476947492,1238.8254064512807,259.68729066987646,243.5502168695092
female,163.75131060672044,54.345450563381775,70.01254250879222,83.94170722936818,81.23507464667169,720,1280,266.194795335285,453.1146260385668,72.50406139542244,1220.5764891748145,242.5541850278508,229.3686341598249
male,166.06589577818374,70.46602872704933,79.50240664434791,92.64867569730013,84.56790024913492,720,1280,256.2296695825526,463.01499480430965,65.01852177739627,1216.3342424428342,288.33028925202746,239.76040955093922
male,164.1591506994513,107.89383484875138,110.40323295243644,129.53243621486456,116.70740731477188,720,1280,212.8898278941482,507.0579646909556,76.3205593523309,1221.5892949149547,402.33318446873153,337.9886687604429
female,157.10814794417934,88.54968046764044,96.51946171606197,116.52853007518328,113.27370892422357,720,1280,222.90807440332642,493.5686565883354,66.13374001713413,1223.8483297921598,352.27048689474555,328.9944492524295
male,169.01359115904754,101.23603962933245,102.35094816386805,118.14555931952353,109.34458589349727,720,1280,225.51662572602052,493.9610326107493,64.19624489949862,1227.4080039398082,371.5717900369079,307.4743613511577
female,148.26675029930212,52.399481144483545,69.34121200062087,85.03260588791636,79.93608845719304,720,1280,257.04127355551867,463.8672066517852,88.31779483918828,1235.5226910269023,263.9089411047009,247.06903148867733
male,181.62729998509656,79.6012091066767,86.43669038138798,99.85009701057734,92.20924753509021,720,1280,255.90717071218313,463.9760719367461,87.6858337717532,1218.2726021816686,280.64175985369707,236.10522697046622
male,162.96634129047675,98.9591602596678,101.72335954275447,117.68120756309827,109.30937706737437,720,1280,221.4048651575299,499.0086406916577,68.2076894793787,1231.6171059696096,382.37153441921805,319.0836159349789
male,173.77727293314538,78.44175218287631,84.24670819720298,97.38379756869662,88.64702814795059,720,1280,253.9961446969031,466.1901197485208,76.44665935754196,1222.0767243454989,291.3694930624626,244.48107792918046
male,170.700953443856,79.79133881722636,86.16744372850134,99.47963322099176,92.33171644925356,720,1280,249.2643084790493,471.45522404946183,76.74569697546053,1233.406161566654,306.29781442959904,257.1170678811943
